time,timestep,maxtimestep,icao24,outliers,callsign,heading,baroaltitude,lat,lon,velocity,vertratecorr,baroaltitudeanalysis,dbaroaltitudeanalysis,tasanalysis,dtasanalysis,baroaltitudekalman,taskalman,segment,modeltype,operator,ukalman,vkalman,tempkalman,temp_surfacekalman,temp1000kalman,temp2000kalman,temp3000kalman,temp4000kalman,temp5000kalman,temp6000kalman,temp7000kalman,temp8000kalman,temp9000kalman,temp10000kalman,temp11000kalman,tempanalysis,target_cas1,target_cas2,target_Mach,mseSpeed,n_cas1,n_cas2,n_mach,fromICAO,toICAO,distance_from_dep,trip_distance,massPast,mseEnergyRatePast,massFutur,mseEnergyRateFutur,u,v,temp,tas
1506645211,150,795,19,0.00388601036269,252,181.622415918,4086.45395546,-27.9403980877,151.826980382,128.662655575,7.47776,4086.1981572,8.0694575048,132.315736873,-0.0187498601736,4074.70160533,132.3677194,18847,2,1,21.1954354798,1.47630488795,272.791630162,300.896038899,267.127628224,259.943742126,253.264456522,247.608084492,240.838186563,233.286079515,225.652062282,218.252318954,210.849028992,205.426521028,201.747965324,272.728222581,108.901672363,105.053788363,0.417073933174,6.03417998397,2,9,35,0,0,,,25992.2,2.04384,29427.8,3.69308,21.1798245747,1.51810919622,272.726812639,132.475534164
1506645226,165,795,19,0.00388601036269,252,182.070030653,4199.04544543,-27.9576287577,151.826367433,128.180203316,7.81195616913,4207.07416955,8.0753235415,131.954729434,-0.029548450912,4187.14880649,132.702417483,18847,2,1,21.1462945699,1.90228983972,272.16457031,300.861358264,266.366005924,259.08836129,252.575019463,246.867678644,240.061804633,232.465183991,224.814840579,217.363531826,210.093549158,204.992593163,201.381330972,272.05615788,108.901672363,105.053788363,0.417073933174,6.03417998397,2,9,35,0,0,,,26056.3,2.6081,29520,3.33134,21.1304742827,1.94427192039,272.09984096,132.567789284
1506645241,180,795,19,0.00388601036269,252,182.095252565,4336.78894372,-27.9755167125,151.825608247,126.637890727,8.27806771235,4324.88010221,7.40340669615,131.663565808,0.00434910737945,4320.26841041,131.365599398,18847,2,1,21.0876408497,1.85851281412,271.427980344,300.825033242,265.475622869,258.089352983,251.789961675,245.907289811,238.97997404,231.510713687,223.845616323,216.332051519,209.216339113,204.488338507,200.95473945,271.402965929,108.901672363,105.053788363,0.417073933174,6.03417998397,2,9,35,0,0,,,26142.6,3.06216,29611.9,2.95476,21.0680419638,1.83816848807,271.338427565,130.937919719
1506645256,195,795,19,0.00388601036269,252,182.070030653,4421.22105724,-27.9919328694,151.824906676,128.180203316,5.59620510894,4425.66583477,6.09618146338,132.31918933,0.0801778787087,4414.21230002,132.027285606,18847,2,1,21.0623608733,1.76616921154,270.91341039,300.792047015,264.852811988,257.440227278,251.240459753,245.234753441,238.224148236,230.783451305,223.174916775,215.618523659,208.610383749,204.141568107,200.662335222,270.852038067,108.901672363,105.053788363,0.417073933174,6.03417998397,2,9,35,0,0,,,26471,4.95332,29692.9,2.62006,21.0538296873,1.7574777895,270.875845948,132.369667951
1506645271,210,795,19,0.00388601036269,252,181.818170482,4511.21053913,-28.0100957318,151.824239556,129.714682474,4.22656,4510.56374623,5.34664065697,133.872711952,0.116485234841,4503.30530875,133.254913602,18847,2,1,21.051392214,1.65094683415,270.433463581,300.764345576,264.26250381,256.844122482,250.724580201,244.612056068,237.519906916,230.055769508,222.547999971,214.949590019,208.041276347,203.817529064,200.39181445,270.394928064,108.901672363,105.053788363,0.417073933174,6.03417998397,2,9,35,0,0,,,26676.4,5.55145,,,21.0416967735,1.64131354157,270.391495649,133.679215901
1506645286,225,795,19,0.00388601036269,252,181.566291187,4587.30823928,-28.0277632143,151.823622277,131.746888699,5.85507154242,4591.65829924,5.64763672736,135.325990423,0.0640870496236,4577.08992557,135.411455369,18847,2,1,21.0605625822,1.53672774332,270.040150595,300.744693441,263.767764134,256.352139122,250.304830598,244.107668678,236.94570574,229.460646706,222.034791903,214.40067468,207.573359298,203.553331076,200.173833792,269.963317359,108.901672363,105.053788363,0.417073933174,6.03417998397,2,9,35,0,0,,,26909.4,5.86904,,,21.0481247458,1.52472022325,269.986246916,135.483535284
1506645301,240,795,19,0.00388601036269,252,181.33740171,4679.55649775,-28.0453561016,151.823079631,132.248134189,6.43087694619,4682.08126865,6.387828445,135.68657652,-0.0121515069343,4670.47738617,135.802417412,18847,2,1,21.0461568994,1.40607152269,269.545931188,300.725214006,263.009514525,255.739336091,249.783630809,243.471640447,236.226883844,228.71742446,221.394976927,213.715542405,207.114086309,203.222787848,199.899168439,269.485233226,108.901672363,105.053788363,0.417073933174,6.03417998397,2,9,35,0,0,,,27261.2,5.35836,,,21.0352106256,1.39581055399,269.498433446,135.767966531
1506645316,255,795,19,0.00388601036269,252,181.2882005,4779.63086627,-28.0631533789,151.822641042,131.603456527,7.39708303901,4781.21774293,6.70342495639,135.177589353,-0.0457288964744,4771.12977453,135.253635766,18847,2,1,21.0250932935,1.27456004852,269.017279056,300.705564298,262.201715875,255.087381482,249.23301783,242.790970049,235.460929709,227.927090443,220.716563175,212.988619308,206.695442302,202.872986081,199.608165917,268.96498798,108.901672363,105.053788363,0.417073933174,6.03417998397,2,9,35,0,0,,,27651.8,4.9017,,,21.0149499307,1.26533866302,268.973209808,134.981524131
1506645331,270,795,19,0.00388601036269,252,181.123302714,4877.10684539,-28.0807732807,151.822220873,131.20843542,5.65547084249,4879.37040442,6.32158770438,134.598974096,-0.0254163223219,4870.13017484,134.507409423,18847,2,1,21.0195314366,1.14031881277,268.491970537,300.686169261,261.415620478,254.453720539,248.702534729,242.126704556,234.716070138,227.160065444,219.913798646,212.285020568,206.291750092,202.535873326,199.327919725,268.427346461,108.901672363,105.053788363,0.417073933174,6.03417998397,2,9,35,0,0,,,27996.4,5.15581,,,21.0302541182,1.11533995642,268.443171325,134.387446404
1506645346,285,795,19,0.00388601036269,252,181.240356897,4975.86,-28.0992200813,151.821791201,131.214217256,6.17728,4970.32843243,5.78152049846,134.528850496,0.0173623970107,4962.59532756,134.182295979,18847,2,1,21.2631821195,0.796568382926,267.841292216,300.665661401,260.687451824,253.867340772,248.217804281,241.510913156,234.027342036,226.452334766,219.154912319,211.637843722,205.922139386,202.228216753,199.073179153,267.787642971,108.901672363,105.053788363,0.417073933174,6.03417998397,2,9,35,0,0,,,28405.1,4.43674,,,21.283227909,0.749777193717,267.749294638,134.12057602
